Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000090,1092,Bexley 026,39.8,10.99020675,69.37551,11.6,8.4,42.3,163.8655186915888,3,0,0.5,18.2,89.8,6.7,9.4,815,21.5,4.309835872003778,563,-0.6201935092005024
E02000091,1090,Bexley 027,39.3,14.13953488,69.885855,14.0,10.1,43.9,700.180462962963,0,0,0.7,17.8,77.4,5.9,10.5,870,21.2,4.600712638859778,628,-1.020367826134696
E02000092,747,Bexley 028,52.7,18.34451902,61.962345,25.5,10.7,107.3,341.4165943937824,1,0,1.0,20.0,111.5,3.3,12.6,780,28.5,7.226471047292024,334,-1.3999300742882532
E02000093,775,Brent 001,51.8,18.48484848,61.782615,12.1,20.7,35.8,344.7231896551724,1,0,9.4,14.8,103.4,2.3,72.1,885,21.7,5.029695619896065,586,-1.911179348871228
E02000094,676,Brent 002,44.0,21.9876869,64.15902,14.6,21.7,29.1,759.7346205533597,1,0,7.9,13.9,96.9,2.5,62.5,895,19.9,4.560185185185185,512,-1.9989009330213696
E02000095,881,Brent 003,47.2,18.21396994,63.483125,9.5,22.5,22,587.5830045045045,2,4,8.6,16.2,82.1,2.3,72.2,850,21.1,4.998466727997547,522,-1.9459076348716091
E02000096,468,Brent 004,32.1,14.65201465,66.468705,7.6,12.2,28.2,468.7244847161572,1,1,5.4,14.8,88.5,3.1,67.7,1100,15.3,4.100862641008626,567,-2.092863477436377
E02000097,696,Brent 005,43.2,23.31233123,62.282455,12.3,19.9,42.8,367.2060097087379,0,0,8.4,14.8,108.2,2.6,63.9,840,20.9,5.190890823844608,448,-2.150710163461716
E02000098,684,Brent 006,38.3,21.20253165,65.252955,14.9,20.4,26.3,420.775707070707,0,0,7.0,14.5,102.5,2.6,67.2,910,17.0,5.41871921182266,474,-1.5734388187599375
E02000099,834,Brent 007,41.5,20.63628547,65.13697,15.7,27.6,15.2,768.5807488986784,1,0,8.1,12.7,88.4,2.9,70.0,955,16.8,3.907062767310138,485,-2.225028224746544
E02000100,614,Brent 008,28.9,18.91891892,67.303475,8.4,23.0,21.1,376.5099019607843,0,2,4.1,12.3,106.5,3.3,68.4,1110,11.5,3.7056232184503752,564,-2.2737637490637246
E02000101,1314,Brent 009,46.1,20.78025478,60.89353,20.3,28.5,50.2,244.59363898916965,3,0,7.7,16.1,120.5,2.3,69.7,750,20.2,5.588299497926217,445,-1.6813624723998295
E02000102,951,Brent 010,49.8,31.98458574,59.492465,21.9,31.0,23.8,512.3728846153847,0,1,11.0,14.9,142.6,2,68.3,740,25.7,5.614801490427856,322,-1.839343249558446
E02000103,1084,Brent 011,46.8,25.51020408,62.125155,24.4,23.7,22.3,708.3325546875,0,0,6.9,15.6,111.7,2.2,57.8,765,22.3,5.640436530729466,443,-1.8989605060768977
E02000104,707,Brent 012,40.8,19.31216931,64.46479,14.3,21.7,29.8,667.8546474358974,0,0,8.3,17.1,98.8,2.2,70.1,860,18.3,5.026256564141035,369,-1.609547475433447
E02000105,1070,Brent 013,40.7,18.11352254,63.635865,15.3,31.2,29.8,722.1853510204081,2,0,8.6,12.9,120.9,1.9,75.8,855,17.2,4.399563318777293,412,-1.9768881057711245
