Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000856,Sutton 017,15.0,29.1,613,13.16831683,8.2,12.9,13.3,99,82.4,-1.437733415837295,1.2
E02000857,Sutton 018,13.8,40.6,622,8.05134189,8.6,15.2,15.2,82.4,75.1,-0.7861098166793283,1.7
E02000858,Sutton 019,25.3,52.2,321,19.37602627,27.3,16.7,16.9,119.3,135.4,-0.677135365194016,1.5
E02000859,Sutton 020,18.2,43.7,564,14.87854251,10.6,8.5,17.5,81,77.6,-0.61299518095307,1.2
E02000860,Sutton 021,17.5,42.9,580,10.40935673,15.9,18.4,17.0,70.3,98.7,-0.7444604838102649,2.1
E02000861,Sutton 022,11.2,25.3,625,16.68496158,4.1,3.2,11.7,51.4,60.5,-1.53487439824062,0.6
E02000863,Sutton 024,17.6,35.3,514,17.24137931,10.4,4.4,15.0,61.8,72.5,-1.305459013474607,0.7
E02000864,Tower Hamlets 001,28.6,58.5,508,27.42268041,31.9,26.5,18.4,41,102.3,-0.9764443872033725,5.4
E02000865,Tower Hamlets 002,24.6,63.1,401,29.30174564,25.2,31.2,17.0,36.4,143.1,-0.8700782846974005,8.4
E02000866,Tower Hamlets 003,19.5,51.6,861,25.05263158,21.4,23.0,13.4,55.6,88.4,-1.186719196290613,4.3
E02000867,Tower Hamlets 004,16.0,59.2,1071,23.47826087,26.9,40.1,11.6,29.2,78.3,-1.22089592941022,4.6
E02000868,Tower Hamlets 005,19.5,69.7,586,33.45454545,26.6,34.4,13.3,24.5,94.6,-1.452510018299012,6.9
E02000869,Tower Hamlets 006,21.9,57.9,537,25.68807339,29.2,28.9,16.8,25.9,102.6,-1.088217860829269,6.9
E02000870,Tower Hamlets 007,23.6,57.1,435,28.41068917,29.0,30.8,15.6,42.9,104.3,-1.461175885725915,6.3
E02000871,Tower Hamlets 008,24.6,65.2,323,31.0137457,30.3,38.0,14.3,31.4,94.1,-1.643535692211941,10.3
E02000872,Tower Hamlets 009,19.6,67.0,765,30.88023088,31.1,41.2,13.9,22.4,93.1,-1.285329392760116,8.4
E02000873,Tower Hamlets 010,16.5,66.5,389,31.41426783,26.2,37.2,12.0,18.8,70.8,-1.718718568657812,8.1
