Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000529,Hounslow 004,18.0,52.3,355,17.31418919,14.9,-1.607415219954808,8.4
E02000530,Hounslow 005,25.8,59.6,227,22.49269718,16.2,-1.885276906505416,8.5
E02000531,Hounslow 006,15.5,41.3,829,11.9544592,13.0,-1.381974727432805,2.6
E02000532,Hounslow 007,11.4,43.7,1175,16.71018277,12.1,-1.584552451667484,1.5
E02000533,Hounslow 008,9.6,40.5,1090,11.93016489,12.0,-1.790069817680841,1.5
E02000534,Hounslow 009,11.3,44.4,626,14.82233503,11.3,-1.967681148437624,3.5
E02000535,Hounslow 010,16.8,50.8,390,20.48085485,14.9,-2.234821639533334,7.5
E02000536,Hounslow 011,16.2,49.5,438,18.27411168,14.8,-1.818271528955993,7.2
E02000537,Hounslow 012,10.5,33.9,480,12.58603736,12.3,-2.034634354616311,6.2
E02000538,Hounslow 013,18.3,50.7,388,20.5908684,14.6,-2.30515723422516,9.0
E02000539,Hounslow 014,15.9,45.8,771,17.82518926,13.3,-1.783677927669826,3.1
E02000540,Hounslow 015,14.3,45.2,553,12.83185841,13.8,-1.796023465215516,5.2
E02000541,Hounslow 016,19.6,52.2,370,17.33944954,17.2,-2.134644789282583,8.3
E02000542,Hounslow 017,17.1,54.0,368,15.82014988,15.2,-2.006339456747342,7.3
E02000543,Hounslow 018,12.3,43.7,617,12.22432262,10.6,-2.353221950221468,6.5
E02000544,Hounslow 019,17.1,32.2,465,16.10087294,13.6,-1.66321647201265,5.1
E02000545,Hounslow 020,20.3,54.1,587,18.721038,15.2,-1.353830985345272,3.9
E02000546,Hounslow 021,16.3,57.8,391,20.04405286,13.0,-2.116093437150736,7.0
E02000547,Hounslow 022,24.7,48.6,466,14.89686784,15.6,-1.680736959102738,4.2
E02000548,Hounslow 023,25.0,49.6,526,19.3338749,16.0,-1.446454644314667,3.4
E02000549,Hounslow 024,24.8,43.2,603,16.53872994,15.7,-1.244748479358532,3.9
E02000550,Hounslow 025,22.0,49.3,478,17.76315789,11.7,-1.814261394024976,3.0
E02000551,Hounslow 026,26.6,53.8,376,20.63492063,16.0,-1.19583780006159,4.4
E02000552,Hounslow 027,19.6,46.6,498,14.08566722,11.3,-1.810909300548488,2.5
E02000553,Hounslow 028,24.5,47.4,382,16.83277962,14.3,-1.888683573860957,2.6
E02000554,Islington 001,19.3,56.9,543,15.39108495,18.8,-0.3703123696741102,4.2
E02000555,Islington 002,17.0,57.6,789,17.89375582,15.8,-0.4522554809351689,3.2
E02000556,Islington 003,15.6,49.4,790,14.25837321,16.2,-0.7364426992187456,4.0
E02000557,Islington 004,18.8,54.5,644,14.11764706,18.9,-0.4326623001243391,3.2
E02000558,Islington 005,27.5,57.9,453,22.91491154,20.4,-0.7809128061952212,7.6
E02000559,Islington 006,11.4,51.0,1197,16.02787456,11.6,-1.197062666274481,2.7
E02000560,Islington 007,14.6,51.8,683,17.35074627,13.8,-0.9356483550074216,4.6
E02000561,Islington 008,10.4,47.7,854,15.82278481,12.2,-0.8569005559839955,1.8
E02000562,Islington 009,16.9,51.5,865,19.95438997,16.5,-0.7601263155646947,3.3
E02000563,Islington 010,21.8,57.1,545,21.50289017,19.0,-0.3617025791105814,4.1
E02000564,Islington 011,13.7,54.8,1245,15.20086862,13.1,-0.9198520318805344,3.1
E02000565,Islington 012,18.9,60.8,727,19.57186544,16.3,-0.8468584039012639,4.7
E02000566,Islington 013,11.6,47.2,1310,15.80246914,12.3,-1.181478354190481,2.5
E02000567,Islington 014,16.8,61.2,1413,14.31226766,15.4,-0.5821988943765456,2.8
E02000568,Islington 015,23.9,60.7,537,21.60427807,19.7,-0.6092143765651067,4.2
E02000569,Islington 016,19.0,57.6,1230,15.43985637,17.2,-0.6571247909576097,2.9
E02000570,Islington 017,9.8,47.2,1550,15.66878981,11.0,-0.9300124736293972,1.1
E02000571,Islington 018,22.1,63.4,939,15.02293578,18.9,-0.6462120387518362,3.1
E02000572,Islington 019,25.3,56.6,512,19.91786448,18.4,-0.7266553775267663,5.4
E02000573,Islington 020,11.8,52.6,1801,14.84149856,13.0,-1.093333791810014,1.5
E02000574,Islington 021,14.8,59.6,1178,15.4340836,14.6,-0.8265382776310615,2.2
E02000575,Islington 022,12.8,57.5,2000,14.64585834,12.1,-0.4626265158046199,2.3
E02000576,Islington 023,19.7,57.8,1095,19.10229645,15.5,-1.001133918688886,2.9
E02000577,Kensington and Chelsea 0,24.9,57.0,432,19.48331539,21.2,-0.4718513321796629,5.5
E02000578,Kensington and Chelsea 0,26.0,54.9,320,19.11949686,22.1,-0.1779795583544333,3.8
E02000579,Kensington and Chelsea 0,15.5,52.4,1002,17.83181358,16.4,-0.82004941094783,2.7
E02000580,Kensington and Chelsea 0,14.2,50.1,1232,13.32518337,16.7,-0.9005824047926568,2.8
E02000581,Kensington and Chelsea 0,24.9,57.3,500,20.15418502,22.0,-0.4520284638099766,4.0
E02000582,Kensington and Chelsea 0,6.2,49.6,1697,17.85150079,9.9,-1.696158343587795,1.6
E02000583,Kensington and Chelsea 0,7.5,44.4,1558,19.7875166,9.3,-1.381075297110216,1.2
E02000584,Kensington and Chelsea 0,4.5,49.4,1876,15.93830334,8.4,-1.772242026065202,1.7
E02000585,Kensington and Chelsea 0,7.2,65.3,1380,19.19642857,10.1,-1.434476476004948,2.4
