Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000298,Enfield 022,28.0,16.77083333,2.0,12.8,14.3,760
E02000299,Enfield 023,50.9,23.9546421,8.6,15.8,28.6,310
E02000300,Enfield 024,55.1,22.41238794,8.1,14.4,24.8,254
E02000301,Enfield 025,52.9,20.8358209,9.6,16.2,29.6,288
E02000302,Enfield 026,38.7,17.72853186,4.8,16.4,22.7,493
E02000303,Enfield 027,59.3,24.37357631,8.7,18.2,31.3,269
E02000304,Enfield 028,30.8,14.32958035,2.6,13.9,13.7,715
E02000305,Enfield 029,34.2,11.6097561,4.7,13.6,15.4,683
E02000306,Enfield 030,58.2,23.43647136,10.1,16.9,31.7,213
E02000307,Enfield 031,53.5,20.54317549,8.8,14.7,25.6,381
E02000308,Enfield 032,54.5,15.78947368,5.9,15.7,17.8,466
E02000309,Enfield 033,54.3,21.83976261,10.1,14.3,27.1,300
E02000311,Enfield 035,46.7,17.10825132,8.3,16.2,22.6,477
E02000312,Enfield 036,39.1,10.9947644,6.2,13.8,14.4,735
E02000313,Greenwich 001,49.5,24.4140625,3.0,14.1,23.5,275
E02000314,Greenwich 002,50.1,21.26410835,3.2,10.6,16.2,575
E02000315,Greenwich 003,53.6,24.75862069,2.2,16.8,27.9,328
E02000316,Greenwich 004,49.2,17.21854305,3.8,12.2,16.1,954
E02000317,Greenwich 005,55.8,21.95488722,4.9,16.5,25.3,270
E02000318,Greenwich 006,47.9,21.98049512,6.8,14.0,21.4,408
E02000319,Greenwich 007,46.7,18.27309237,5.2,13.0,18.8,518
E02000320,Greenwich 008,47.3,17.95121951,2.4,15.3,21.8,299
E02000321,Greenwich 009,52.2,19.25287356,4.9,16.9,25.4,324
E02000323,Greenwich 011,47.4,22.0952381,6.5,14.3,22.8,460
E02000324,Greenwich 012,51.7,22.2,3.6,19.4,25.5,353
E02000326,Greenwich 014,51.6,14.82254697,2.9,13.5,16.0,539
E02000327,Greenwich 015,53.6,26.46775746,4.5,13.1,20.1,568
E02000328,Greenwich 016,41.4,14.05184175,1.2,16.0,14.7,743
E02000329,Greenwich 017,39.6,16.87344913,2.0,17.0,23.5,298
E02000331,Greenwich 019,52.1,18.04435484,2.5,16.9,22.9,487
E02000332,Greenwich 020,42.4,16.5961945,1.6,14.1,16.0,480
E02000333,Greenwich 021,45.7,14.03508772,0.9,13.2,9.4,865
E02000334,Greenwich 022,43.0,17.81818182,2.8,17.8,24.6,417
E02000335,Greenwich 023,33.8,13.50059737,0.9,15.3,21.3,477
E02000337,Greenwich 025,46.2,18.03738318,1.7,19.8,31.3,360
E02000339,Greenwich 027,44.0,15.27777778,1.0,17.4,18.5,459
E02000340,Greenwich 028,44.9,14.63414634,1.0,17.7,21.2,441
E02000341,Greenwich 029,53.3,20.53333333,2.0,20.2,31.5,368
E02000342,Greenwich 030,52.4,16.80672269,1.6,15.0,21.7,305
E02000343,Greenwich 031,47.2,17.25394897,1.3,20.1,27.4,359
E02000344,Greenwich 032,32.7,13.11688312,1.4,16.0,23.3,445
E02000345,Hackney 001,45.8,44.85106383,9.9,10.1,32.0,262
E02000346,Hackney 002,55.3,20.72409488,11.4,20.2,27.6,221
E02000347,Hackney 003,51.5,38.53028798,8.4,13.0,28.6,302
E02000348,Hackney 004,51.3,35.60477002,10.2,14.1,31.1,236
E02000350,Hackney 006,40.6,24.18111753,6.7,11.7,16.6,678
E02000351,Hackney 007,53.3,17.42209632,4.8,11.5,11.2,941
E02000352,Hackney 008,44.5,24.6737841,4.6,15.9,18.9,522
E02000353,Hackney 009,42.2,14.38848921,3.7,11.9,12.4,795
E02000354,Hackney 010,55.5,21.29471891,7.0,17.1,21.0,507
E02000355,Hackney 011,47.3,20.42410714,6.0,15.6,17.5,562
E02000356,Hackney 012,38.9,14.38935913,4.1,12.0,11.8,707
E02000357,Hackney 013,53.5,26.28968254,7.3,18.6,27.6,192
E02000358,Hackney 014,54.5,15.73994867,6.0,14.7,17.0,888
E02000359,Hackney 015,54.5,25.0,5.4,14.8,19.7,427
E02000360,Hackney 016,51.0,20.02635046,6.5,15.6,20.6,657
E02000361,Hackney 017,51.1,17.47815231,5.0,13.5,16.1,597
E02000362,Hackney 018,57.0,25.0,4.0,18.2,22.3,380
E02000363,Hackney 019,57.2,22.39170226,7.2,16.3,26.2,416
E02000364,Hackney 020,47.1,16.468039,3.7,13.8,14.5,921
E02000365,Hackney 021,53.0,16.93171188,4.2,13.7,14.6,1480
E02000366,Hackney 022,52.6,21.1026616,4.5,16.8,22.6,589
E02000367,Hackney 023,48.3,17.32495512,3.3,11.7,12.9,977
E02000368,Hackney 024,58.4,22.46998285,6.4,17.8,22.8,625
E02000369,Hackney 025,56.4,18.08590806,5.8,15.4,19.6,1027
E02000370,Hackney 026,53.2,17.20542231,5.5,15.2,20.6,801
E02000371,Hackney 027,48.9,18.05128205,3.4,10.7,11.9,1754
E02000372,Hammersmith and Fulham 0,54.0,24.23112768,4.2,15.4,23.0,497
E02000373,Hammersmith and Fulham 0,55.4,24.0776699,6.3,16.4,25.7,261
E02000374,Hammersmith and Fulham 0,53.8,21.14882507,3.5,15.3,17.6,587
E02000375,Hammersmith and Fulham 0,52.3,17.6217765,3.5,15.0,15.1,729
E02000376,Hammersmith and Fulham 0,46.1,12.77258567,2.9,13.3,13.3,737
E02000377,Hammersmith and Fulham 0,47.8,16.44815256,3.1,13.7,14.4,748
E02000378,Hammersmith and Fulham 0,46.9,16.36363636,2.4,11.7,9.4,948
E02000379,Hammersmith and Fulham 0,50.0,19.20374707,2.7,13.6,11.0,780
E02000380,Hammersmith and Fulham 0,46.6,14.89698891,1.8,11.4,10.5,825
E02000381,Hammersmith and Fulham 0,42.0,16.94711538,2.0,10.8,9.5,1236
E02000382,Hammersmith and Fulham 0,54.5,16.47058824,2.5,12.4,9.9,694
E02000383,Hammersmith and Fulham 0,41.9,15.2758133,2.5,11.9,9.1,1206
E02000384,Hammersmith and Fulham 0,51.0,20.25677603,3.2,17.3,17.4,666
E02000385,Hammersmith and Fulham 0,47.7,8.547008547,1.8,8.5,6.7,1083
E02000386,Hammersmith and Fulham 0,49.2,19.27846674,3.6,15.4,17.1,753
E02000387,Hammersmith and Fulham 0,51.9,13.30998249,3.0,13.5,14.0,684
